time,x,y,x_next,y_next,u_x,u_y,goal_x,goal_y,b_x,b_y
0.0,0.1,1.9,0.17977761738558518,1.8112724647688694,1.9944404346396294,-2.2181883807782627,0.0,2.0,0.7,0.7
0.2,0.17977761738558518,1.8112724647688694,-0.12814654122219749,1.816390262274453,-7.698103965194566,0.12794493763959303,0.0,2.0,0.6992044414705348,0.699015928061476
0.4,-0.12814654122219749,1.816390262274453,-0.41605088846055166,1.774845690639262,-7.197608680958853,-1.0386142908797764,0.0,2.0,0.6873711387141898,0.699012660523729
0.6000000000000001,-0.41605088846055166,1.774845690639262,-0.3213829401594815,1.7873340401569604,2.3666987075267536,0.3122087379424586,0.0,2.0,0.6772717227159503,0.6987973426196809
0.8,-0.3213829401594815,1.7873340401569604,-0.12713468811527853,1.4615835226590994,4.856206301105074,-8.143762937446525,0.0,2.0,0.6762023929828795,0.6987778946517439
1.0,-0.12713468811527853,1.4615835226590994,-0.18024256268798444,1.6808007221780912,-1.3276968643176474,5.480429987974791,0.0,2.0,0.6717103301632263,0.6855461401337869
1.2000000000000002,-0.18024256268798444,1.6808007221780912,-0.21523361355274742,1.6961931531695174,-0.8747762716190743,0.38481077478565306,0.0,2.0,0.6713777217444719,0.679712766888066
1.4000000000000001,-0.21523361355274742,1.6961931531695174,-0.2800293735130609,1.8012271908898225,-1.6198939990078363,2.6258509430076273,0.0,2.0,0.671233436130152,0.679684352669562
1.6,-0.2800293735130609,1.8012271908898225,-0.2783397453890353,1.8369060069493364,0.04224070310063999,0.8919704014878482,0.0,2.0,0.6707388188528924,0.6783613653470838
1.8,-0.2783397453890353,1.8369060069493364,-0.41257300628503946,1.914931318457484,-3.3558315224001047,1.9506327877036949,0.0,2.0,0.6707384828815137,0.678209129483666
2.0,-0.41257300628503946,1.914931318457484,-0.5236051865664889,2.1152602259725746,-2.775804507036235,5.0082226878772635,0.0,2.0,0.6686179745015822,0.6774813012575507
2.2,-0.5236051865664889,2.1152602259725746,-0.4152995611947304,2.207193339839506,2.707640634293963,2.2983278466732853,0.0,2.0,0.6671736769099657,0.6726907706126452
2.4000000000000004,-0.4152995611947304,2.207193339839506,-0.3439342061638301,2.20011180984221,1.7841338757725076,-0.17703824993239992,0.0,2.0,0.6658036774318399,0.6716920107704112
2.6,-0.3439342061638301,2.20011180984221,-0.432029136852837,2.140168073998529,-2.2023732672251732,-1.498593396092021,0.0,2.0,0.665210591281035,0.6716860971597592
2.8000000000000003,-0.432029136852837,2.140168073998529,-0.4364709992608513,1.9413811823607052,-0.11104656020035808,-4.9696722909455975,0.0,2.0,0.6643079993666882,0.6712623754696256
3.0,-0.4364709992608513,1.9413811823607052,-0.6168393871596837,2.0216860909330876,-4.5092096974708085,2.007622714309556,0.0,2.0,0.6643057091510388,0.6666067475665894
3.2,-0.6168393871596837,2.0216860909330876,-0.48089932247527234,2.001182446732351,3.3985016171102833,-0.5125911050184088,0.0,2.0,0.6605294231398099,0.665854475029574
3.4000000000000004,-0.48089932247527234,2.001182446732351,-0.4565077872546761,1.7842807588024563,0.6097883805149056,-5.42254219824737,0.0,2.0,0.6584018116080175,0.6658055137911555
3.6,-0.4565077872546761,1.7842807588024563,-0.4336225944607943,1.9373301892842858,0.5721298198470444,3.826235762045735,0.0,2.0,0.6583336304134629,0.6603269023879138
3.8000000000000003,-0.4336225944607943,1.9373301892842858,-0.2820158735039285,2.216911000259798,3.7901680239216455,6.989520274387809,0.0,2.0,0.658273619410593,0.6576312132974119
4.0,-0.2820158735039285,2.216911000259798,-0.24871608816632906,2.2493497527601276,0.8324946334399856,0.8109688125082415,0.0,2.0,0.6556403106999656,0.6486884781705705
4.2,-0.24871608816632906,2.2493497527601276,-0.08353711548233683,2.2572544071712968,4.129474317099805,0.19761636027923246,0.0,2.0,0.6555139985824446,0.6485704425155377
4.4,-0.08353711548233683,2.2572544071712968,0.2782541816218144,2.3485616032826275,9.04478242760378,2.2826799027832676,0.0,2.0,0.6524069270054843,0.6485634354458455
4.6000000000000005,0.2782541816218144,2.3485616032826275,0.4154388017212224,2.015960282876585,3.4296155024851984,-8.315033010151065,0.0,2.0,0.637602708516571,0.6476285166500335
4.800000000000001,0.4154388017212224,2.015960282876585,0.2728376169641246,2.0163320096980697,-3.5650296189274435,0.009293170537117132,0.0,2.0,0.6355438293461528,0.6352489428663577
5.0,0.2728376169641246,2.0163320096980697,0.06924490532936486,1.7566096927994888,-5.089817790868993,-6.493057922464522,0.0,2.0,0.6333296227444185,0.6352489278305926
5.2,0.06924490532936486,1.7566096927994888,0.04709829166994715,1.9674402015751742,-0.5536653414854429,5.270762719392135,0.0,2.0,0.6288392453703862,0.6279089245253544
5.4,0.04709829166994715,1.9674402015751742,0.6907945577523973,1.4303603782205059,16.09240665206125,-13.426995583866702,2.0,0.0,0.6287866619065592,0.6231538397231844
5.6000000000000005,0.6907945577523973,1.4303603782205059,0.9171122080984826,0.999678424484582,5.657941258652132,-10.767048843398094,2.0,0.0,0.5843702720950287,0.5926386573727422
5.800000000000001,0.9171122080984826,0.999678424484582,1.2405334288831125,0.8295604747605916,8.085530519615745,-4.2529487430997595,2.0,0.0,0.5794484416201947,0.5744313210846239
6.0,1.2405334288831125,0.8295604747605916,1.5211965480915932,0.9167856213692059,7.0165779802120145,2.1806286652153597,2.0,0.0,0.5695257428740471,0.5717222995414696
6.2,1.5211965480915932,0.9167856213692059,1.3760526931025128,0.8837749719547853,-3.6285963747270085,-0.8252662353605178,2.0,0.0,0.5622486921445585,0.5710152627067626
6.4,1.3760526931025128,0.8837749719547853,1.669119512942105,0.8089681206000163,7.326670495989808,-1.8701712838692246,2.0,0.0,0.5603408425144369,0.5709141885978992
6.6000000000000005,1.669119512942105,0.8089681206000163,1.577282209294182,0.5837368737860611,-2.295932591198076,-5.630781170348881,2.0,0.0,0.552603589450077,0.5703952736198037
6.800000000000001,1.577282209294182,0.5837368737860611,1.6606175809925865,0.4637985040087451,2.08338429246011,-2.9984592444329,2.0,0.0,0.551860116818053,0.5656978175545435
